No.;Partitioning Point;Layer;Latency [ms];Energy [mJ]
1;Conv2d: 2-1;Conv2d: 2-1;1.229312;0.5776949204475289
2;Bottleneck: 3-1;Conv2d: 4-1;0.10035200000000001;0.09001687624251174
3;Bottleneck: 3-1;Conv2d: 4-4;0.903168;0.5053191692721736
4;Bottleneck: 3-1;Conv2d: 4-7;0.40140800000000004;0.307634397570367
5;Bottleneck: 3-1;Conv2d: 5-1;0.40140800000000004;0.307634397570367
6;Bottleneck: 3-2;Conv2d: 4-11;0.40140800000000004;0.314653741744447
7;Bottleneck: 3-2;Conv2d: 4-14;0.903168;0.5053191692721736
8;Bottleneck: 3-2;Conv2d: 4-17;0.40140800000000004;0.307634397570367
9;Bottleneck: 3-3;Conv2d: 4-20;0.40140800000000004;0.314653741744447
10;Bottleneck: 3-3;Conv2d: 4-23;0.903168;0.5053191692721736
11;Bottleneck: 3-3;Conv2d: 4-26;0.40140800000000004;0.307634397570367
12;Bottleneck: 3-4;Conv2d: 4-29;0.8028160000000001;0.559396673622654
13;Bottleneck: 3-4;Conv2d: 4-32;0.903168;0.5515360314617093
14;Bottleneck: 3-4;Conv2d: 4-35;0.40140800000000004;0.2991778294713374
15;Bottleneck: 3-4;Conv2d: 5-3;0.8028160000000001;0.730799363445715
16;Bottleneck: 3-5;Conv2d: 4-39;0.40140800000000004;0.28660924307005753
17;Bottleneck: 3-5;Conv2d: 4-42;0.903168;0.49978425745226923
18;Bottleneck: 3-5;Conv2d: 4-45;0.40140800000000004;0.2991778294713374
19;Bottleneck: 3-6;Conv2d: 4-48;0.40140800000000004;0.28660924307005753
20;Bottleneck: 3-6;Conv2d: 4-51;0.903168;0.49978425745226923
21;Bottleneck: 3-6;Conv2d: 4-54;0.40140800000000004;0.2991778294713374
22;Bottleneck: 3-7;Conv2d: 4-57;0.40140800000000004;0.28660924307005753
23;Bottleneck: 3-7;Conv2d: 4-60;0.903168;0.49978425745226923
24;Bottleneck: 3-7;Conv2d: 4-63;0.40140800000000004;0.2991778294713374
25;Bottleneck: 3-8;Conv2d: 4-66;0.8028160000000001;0.543139522069715
26;Bottleneck: 3-8;Conv2d: 4-69;3.612672;2.0560172706464543
27;Bottleneck: 3-8;Conv2d: 4-72;1.6056320000000002;1.4104140268107899
28;Bottleneck: 3-8;Conv2d: 5-5;3.2112640000000003;2.76027636932078
29;Bottleneck: 3-9;Conv2d: 4-76;1.6056320000000002;1.0711411230642298
30;Bottleneck: 3-9;Conv2d: 4-79;3.612672;2.0560172706464543
31;Bottleneck: 3-9;Conv2d: 4-82;1.6056320000000002;1.4104140268107899
32;Bottleneck: 3-10;Conv2d: 4-85;1.6056320000000002;1.0711411230642298
33;Bottleneck: 3-10;Conv2d: 4-88;3.612672;2.0560172706464543
34;Bottleneck: 3-10;Conv2d: 4-91;1.6056320000000002;1.4104140268107899
35;Bottleneck: 3-11;Conv2d: 4-94;1.6056320000000002;1.0711411230642298
36;Bottleneck: 3-11;Conv2d: 4-97;3.612672;2.0560172706464543
37;Bottleneck: 3-11;Conv2d: 4-100;1.6056320000000002;1.4104140268107899
38;Bottleneck: 3-12;Conv2d: 4-103;1.6056320000000002;1.0711411230642298
39;Bottleneck: 3-12;Conv2d: 4-106;3.612672;2.0560172706464543
40;Bottleneck: 3-12;Conv2d: 4-109;1.6056320000000002;1.4104140268107899
41;Bottleneck: 3-13;Conv2d: 4-112;1.6056320000000002;1.0711411230642298
42;Bottleneck: 3-13;Conv2d: 4-115;3.612672;2.0560172706464543
43;Bottleneck: 3-13;Conv2d: 4-118;1.6056320000000002;1.4104140268107899
44;Bottleneck: 3-14;Conv2d: 4-121;3.2112640000000003;2.223848041994857
45;Bottleneck: 3-14;Conv2d: 4-124;14.450688;8.198989099205338
46;Bottleneck: 3-14;Conv2d: 4-127;6.422528000000001;5.490473774571159
47;Bottleneck: 3-14;Conv2d: 5-7;12.845056000000001;10.859844180540717
48;Bottleneck: 3-15;Conv2d: 4-131;6.422528000000001;5.4996360220566
49;Bottleneck: 3-15;Conv2d: 4-134;14.450688;8.198989099205338
50;Bottleneck: 3-15;Conv2d: 4-137;6.422528000000001;5.490473774571159
51;Bottleneck: 3-16;Conv2d: 4-140;6.422528000000001;5.4996360220566
52;Bottleneck: 3-16;Conv2d: 4-143;14.450688;8.198989099205338
53;Bottleneck: 3-16;Conv2d: 4-146;6.422528000000001;5.490473774571159
54;Conv2d: 2-9;Conv2d: 2-9;57.802752;32.720716446679916
55;Conv2d: 2-13;Conv2d: 2-13;0.087808;0.08286717771611779
